uid,unique_id,boot_num,term,estimate,std.error,statistic,p.value
5_1_0645,5_1,0645,r,0.12554916101718847,0.008300432490305475,15.125616787296822,4.3435716563511305e-14
5_1_0646,5_1,0646,K,21456.596790443542,2169.542364723343,9.889918325323718,4.007143807992731e-10
5_1_0646,5_1,0646,r,0.12475065041548924,0.010248989718669948,12.171994883382382,5.291098986489077e-12
5_1_0647,5_1,0647,K,22370.95171176233,2572.8543422691446,8.694993472515094,4.978583089327123e-9
5_1_0647,5_1,0647,r,0.12060562915377253,0.009449409568198284,12.763297884734227,1.893685498784085e-12
5_1_0648,5_1,0648,K,20082.456430297058,868.9704280310966,23.11063274707709,2.1798678147825127e-18
5_1_0648,5_1,0648,r,0.13514081808702774,0.006958276431553956,19.421593754769447,1.3497413385139074e-16
5_1_0649,5_1,0649,K,20436.118856068646,1165.3665723608967,17.5362150766582,1.465037420486807e-15
5_1_0649,5_1,0649,r,0.13007703980602775,0.007344510214258066,17.710784791817186,1.1641721672480445e-15
5_1_0650,5_1,0650,K,20493.340330498613,1207.7596727627786,16.968061438596983,3.138638030755453e-15
5_1_0650,5_1,0650,r,0.12279333848255417,0.008287856991641588,14.816054211166149,6.928758459437922e-14
5_1_0651,5_1,0651,K,21566.237183956404,944.9461714653958,22.822715023557475,2.941786197754397e-18
5_1_0651,5_1,0651,r,0.12273637764062019,0.007134619118900199,17.202933414550657,2.2846811739877085e-15
5_1_0652,5_1,0652,K,20464.059333438432,1235.8030621715009,16.55932078488287,5.503615457132096e-15
5_1_0652,5_1,0652,r,0.13156507712346469,0.008227836863248137,15.99023890606482,1.226823936095334e-14
5_1_0653,5_1,0653,K,20622.521774803656,1397.6786598127053,14.754837694643745,7.60614845286738e-14
5_1_0653,5_1,0653,r,0.1269684531390817,0.008928349273721346,14.220820584694835,1.739233463011154e-13
5_1_0654,5_1,0654,K,18288.084696700786,1297.9803444910235,14.089646868937823,2.1390472636013267e-13
5_1_0654,5_1,0654,r,0.1413556834286092,0.010800669741091779,13.087677599363422,1.093931271851981e-12
5_1_0655,5_1,0655,K,20090.50781997224,823.1170363171475,24.407838659083904,5.884884384720637e-19
5_1_0655,5_1,0655,r,0.13576858324414584,0.006144636669341387,22.095461546418527,6.371178008201655e-18
5_1_0656,5_1,0656,K,21196.938252076852,1490.7252369799164,14.219212049445183,1.7436361780846022e-13
5_1_0656,5_1,0656,r,0.12763319730232212,0.008759042321547499,14.571592717201598,1.0074779824273653e-13
5_1_0657,5_1,0657,K,20562.05436834596,1334.224013385841,15.411245909272708,2.8423768690122086e-14
5_1_0657,5_1,0657,r,0.12988929475063038,0.008926768558535672,14.550539077932266,1.0407325477279883e-13
5_1_0658,5_1,0658,K,23440.575831505532,2738.9660298667122,8.558184211085756,6.723011914641393e-9
5_1_0658,5_1,0658,r,0.10733508653146509,0.009453460708236576,11.354052218987547,2.329719113549314e-11
5_1_0659,5_1,0659,K,20321.458561324544,1235.875689006755,16.44296327056683,6.471538395428397e-15
