temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
5,TT,2,20,82.7,82.7,0.56,127.31,126.29,130.93,0.5526,1,1,751,285,0,0,0,0,0,0,0,0.58,0.64,0.82,1.57,43.7,0.96,2016-12-01,10.26,12.21,133.79,2.53,-45,30,0.15,0.87,0,0.39,17.98,7.1,05TT2_size_images_000001.tif,38,35,688,2,125.19,15.65,1,50.16,1.01,1.03,1.04,1.13,0,0,0,42.11,366,52328,0.66,19:15:04,2016-12-02T02:15:04Z,0.16,565.7839,952.4237,8.21
5,TT,2,21,99.32,99.32,0.71,125.32,123.72,126.46,0.5526,1,1,755,403,0,0,0,0,0,0,0,0.73,0.65,0.92,1.54,45.47,0.96,2016-12-01,11.25,12.77,132.54,2.44,-30,55,0.26,0.8,0,0.41,19.01,7.79,05TT2_size_images_000001.tif,38,39,725,2,124.18,15.13,1,53.61,1.01,1.01,1.02,1.16,0,0,0,38.49,497,60225,0.67,19:15:15,2016-12-02T02:15:15Z,0.12,744.5996,1089.764,10.06
5,TT,2,22,68.33,68.33,0.89,131.88,118.37,114.42,0.5526,1,1,565,628,0,0,0,0,0,0,0,0.79,0.58,0.96,1.73,39.59,0.94,2016-12-01,9.33,10.9,131.93,3.12,-85,-40,0.48,0.68,0,0.32,18.51,5.92,05TT2_size_images_000001.tif,37,33,766,2,116.44,12.52,1,48.86,1.11,0.87,0.97,1.21,0,0,0,39.14,132,41801,0.67,19:14:45,2016-12-02T02:14:45Z,0.14,424.9404,677.4635,9.74
5,TT,2,23,67.37,67.37,0.69,126.04,118.61,115.83,0.5526,1,1,723,561,0,0,0,0,0,0,0,0.73,0.77,0.91,1.29,37.73,1,2016-12-01,9.26,10.31,130.88,1.28,35,-35,0,1.01,0,0.78,11.77,9.21,05TT2_size_images_000001.tif,34,33,801,2,118.35,11.87,1,41.96,1.06,0.92,0.98,1.1,0,0,0,49.58,645,42016,0.76,19:15:28,2016-12-02T02:15:28Z,0.1,415.9834,573.4721,8.39
5,TT,2,24,80.74,80.74,0.61,121.88,114.26,118.12,0.5526,1,1,907,568,0,0,0,0,0,0,0,0.62,0.61,0.85,1.64,43.32,0.95,2016-12-01,10.14,12.09,130.74,2.8,-10,80,0.3,0.77,0,0.36,18.71,6.69,05TT2_size_images_000001.tif,32,40,836,2,116.27,14.42,1,50.8,1.07,0.97,1.03,1.16,0,0,0,43.71,99,47671,0.78,19:14:42,2016-12-02T02:14:42Z,0.16,545.749,924.4277,9.11
5,TT,2,25,124.59,124.59,0.83,119.74,121.89,129.75,0.5526,1,1,915,715,0,0,0,0,0,0,0,0.76,0.63,0.95,1.58,49.86,0.95,2016-12-01,12.59,14.17,130.6,2.58,20,-45,0.4,0.72,0,0.39,21.48,8.32,05TT2_size_images_000001.tif,38,42,878,2,123.98,15.39,1,59.59,0.98,1.08,1.06,1.18,0,0,0,42.27,334,72530,0.68,19:15:02,2016-12-02T02:15:02Z,0.11,1046.092,1488.422,12.91
5,TT,2,26,70.02,70.02,0.49,118.68,118.8,122.9,0.5526,1,1,938,400,0,0,0,0,0,0,0,0.54,0.63,0.77,1.57,41.43,0.97,2016-12-01,9.44,11.48,130.08,2.56,-10,-80,0.13,0.89,0,0.39,16.9,6.61,05TT2_size_images_000001.tif,29,41,922,2,119.99,14.97,1,47.03,1,1.04,1.03,1.12,0,0,0,46.05,84,43918,0.77,19:14:41,2016-12-02T02:14:41Z,0.18,440.7997,792.968,7.57
5,TT,2,27,124.33,124.33,0.78,123.45,127.86,134.61,0.5526,1,1,756,315,0,0,0,0,0,0,0,0.77,0.69,0.95,1.44,49.2,0.98,2016-12-01,12.58,13.96,129.02,2.04,75,-50,0.16,0.86,0,0.49,19.09,9.34,05TT2_size_images_000001.tif,43,38,965,2,129.21,16.43,1,56.86,0.97,1.09,1.05,1.14,0,0,0,42.88,338,75458,0.81,19:15:02,2016-12-02T02:15:02Z,0.1,1042.882,1423.208,11.72
5,TT,2,28,64.97,64.97,0.66,115.14,111.62,115.77,0.5526,1,1,320,369,0,0,0,0,0,0,0,0.67,0.69,0.89,1.45,38,0.98,2016-12-01,9.1,10.39,128.91,2.08,20,-65,0.16,0.86,0,0.48,14.81,7.11,05TT2_size_images_000001.tif,30,36,1005,2,113.25,12.75,1,43.85,1.03,1.01,1.04,1.14,0,0,0,32.52,293,39071,0.64,19:14:58,2016-12-02T02:14:58Z,0.12,393.9298,587.4275,8.21
5,TT,2,29,115.43,115.43,0.91,110.98,111.39,115.61,0.5526,1,1,161,636,0,0,0,0,0,0,0,0.79,0.65,0.97,1.55,47.41,0.96,2016-12-01,12.12,13.39,128.67,2.45,-80,35,0.41,0.71,0,0.41,20.25,8.28,05TT2_size_images_000001.tif,40,39,1043,2,112.46,14.33,1,57.05,1,1.04,1.04,1.19,0,0,0,39.09,658,61738,0.67,19:15:29,2016-12-02T02:15:29Z,0.09,932.9708,1255.971,12.24
