unique_id,temperature,rep,cell_density,cell_volume,time_since_innoc_hours,start_time,days
16_1,16,1,18367,818.21,247.58277777777778,2016-11-07  13:20:42,10.315949074074075
16_2,16,2,16857,802.19,247.61166666666668,2016-11-07  13:22:26,10.317152777777778
16_3,16,3,16169,814.08,247.63944444444445,2016-11-07  13:24:06,10.318310185185185
16_4,16,4,18367,803.11,247.73666666666668,2016-11-07  13:29:56,10.322361111111112
16_5,16,5,18241,805.65,247.69444444444446,2016-11-07  13:27:24,10.320601851851853
25_1,25,1,4571,1027.29,248.8475,2016-11-07  14:36:35,10.368645833333334
25_2,25,2,5678,862.95,248.6561111111111,2016-11-07  14:25:06,10.360671296296296
25_3,25,3,5829,875.39,248.60166666666666,2016-11-07  14:21:50,10.358402777777778
25_4,25,4,5024,942.93,248.55916666666667,2016-11-07  14:19:17,10.356631944444445
25_4,25,4,5024,942.93,248.55916666666667,2016-11-07  14:19:17,10.356631944444445
25_5,25,5,6383,975.1,248.5175,2016-11-07  14:16:47,10.354895833333334
32_1,32,1,1552,2769.17,248.97305555555556,2016-11-07  14:44:07,10.373877314814814
32_3,32,3,1845,2375.41,249.0636111111111,2016-11-07  14:49:33,10.377650462962963
5_1,5,1,2971,1114.56,299.0175,2016-11-09  16:46:47,12.4590625
5_2,5,2,3648,1182.55,299.15833333333336,2016-11-09  16:55:14,12.464930555555556
5_3,5,3,5158,1619.27,299.2463888888889,2016-11-09  17:00:31,12.468599537037036
5_4,5,4,4145,1340.82,299.21694444444444,2016-11-09  16:58:45,12.467372685185184
5_5,5,5,3140,1244.39,299.2758333333333,2016-11-09  17:02:17,12.469826388888889
8_1,8,1,8374,946.53,300.01416666666665,2016-11-09  17:46:35,12.500590277777777
8_2,8,2,15775,908.95,299.98805555555555,2016-11-09  17:45:01,12.499502314814814
8_3,8,3,10106,869.59,299.9602777777778,2016-11-09  17:43:21,12.498344907407407
8_4,8,4,7422,985.22,299.93416666666667,2016-11-09  17:41:47,12.497256944444445
8_5,8,5,9686,909.35,299.8963888888889,2016-11-09  17:39:31,12.495682870370372
16_1,16,1,19708,930.46,300.06583333333333,2016-11-09  17:49:41,12.502743055555555
