temperature,species,rep,particle_id,area_abd,area_filled,aspect_ratio,average_blue,average_green,average_red,calibration_factor,calibration_image,camera,capture_x,capture_y,ch1_area,ch1_peak,ch1_width,ch2_area,ch2_peak,ch2_width,ch2_ch1_ratio,circle_fit,circularity,circularity_hu,compactness,convex_perimeter,convexity,date,diameter_abd,diameter_esd,edge_gradient,elongation,feret_angle_max,feret_angle_min,fiber_curl,fiber_straightness,filter_score,geodesic_aspect_ratio,geodesic_length,geodesic_thickness,image_file,image_height,image_width,image_x,image_y,intensity,length,particles_per_chain,perimeter,ratio_blue_green,ratio_red_blue,ratio_red_green,roughness,scatter_area,scatter_peak,scatter_width,sigma_intensity,source_image,sum_intensity,symmetry,time,timestamp,transparency,volume_abd,volume_esd,width
25,TT,4,7,71.48,71.48,0.56,102.38,102.01,108.55,0.5526,1,1,1103,15,0,0,0,0,0,0,0,0.59,0.52,0.82,1.94,42.53,0.89,2016-10-31,9.54,11.83,138,3.84,15,90,0.37,0.73,0,0.26,20.88,5.44,25TT4_size_images_000001.tif,30,41,210,2,103.74,15.22,1,52.63,1,1.06,1.06,1.22,0,0,0,47.14,382,38592,0.68,16:25:35,2016-10-31T23:25:35Z,0.19,454.5791,867.8777,8.57
25,TT,4,8,95.33,95.33,0.88,101.16,100.46,106.59,0.5526,1,1,69,232,0,0,0,0,0,0,0,0.8,0.72,0.97,1.4,43.52,0.98,2016-10-31,11.02,12.15,137.19,1.85,60,-50,0.17,0.85,0,0.54,16.28,8.8,25TT4_size_images_000001.tif,37,35,253,2,102.36,13.9,1,50.16,1.01,1.05,1.06,1.14,0,0,0,37.56,71,48007,0.68,16:25:09,2016-10-31T23:25:09Z,0.09,700.1436,938.8044,10.88
25,TT,4,9,73.9,73.9,0.53,119,113.67,122.3,0.5526,1,1,862,891,0,0,0,0,0,0,0,0.54,0.5,0.78,2,44.17,0.88,2016-10-31,9.7,12.36,134.98,4.03,-20,-75,0.35,0.74,0,0.25,21.68,5.38,25TT4_size_images_000001.tif,31,42,290,2,116.61,16.05,1,54.12,1.05,1.03,1.08,1.21,0,0,0,43.79,535,44545,0.77,16:25:48,2016-10-31T23:25:48Z,0.21,477.9222,987.8817,8.88
25,TT,4,10,97.82,100.07,0.82,126.67,133.49,145.22,0.5526,1,1,820,163,0,0,0,0,0,0,0,0.75,0.61,0.94,1.64,46.05,0.93,2016-10-31,11.16,12.95,128.58,2.81,-35,25,0.42,0.71,0,0.36,20.46,7.28,25TT4_size_images_000001.tif,37,37,334,2,136.18,14.45,1,55.49,0.95,1.15,1.09,1.3,0,0,0,43.12,94,65232,0.69,16:25:11,2016-10-31T23:25:11Z,0.14,727.8023,1138.046,11.85
25,TT,4,11,102.07,102.07,0.69,103.29,103.93,108.94,0.5526,1,1,212,789,0,0,0,0,0,0,0,0.71,0.7,0.92,1.42,45.56,0.97,2016-10-31,11.4,12.8,126.55,1.96,60,-15,0.12,0.89,0,0.51,17.23,8.79,25TT4_size_images_000001.tif,40,34,373,2,105.04,15.41,1,52.04,0.99,1.05,1.05,1.13,0,0,0,39.53,621,52098,0.73,16:25:55,2016-10-31T23:25:55Z,0.11,775.785,1097.223,10.38
25,TT,4,12,90.11,92.34,0.77,117.57,115.37,116.25,0.5526,1,1,239,728,0,0,0,0,0,0,0,0.77,0.62,0.94,1.61,45.41,0.91,2016-10-31,10.71,12.75,126.3,2.68,-40,45,0.45,0.69,0,0.37,19.32,7.22,25TT4_size_images_000001.tif,38,38,409,2,114.6,13.35,1,53.09,1.02,0.99,1.01,1.27,0,0,0,36.92,484,51340,0.72,16:25:44,2016-10-31T23:25:44Z,0.16,643.448,1085.397,11.35
25,TT,4,13,61.62,61.62,0.75,115.77,101.63,98.9,0.5526,1,1,246,251,0,0,0,0,0,0,0,0.74,0.52,0.92,1.93,38.07,0.91,2016-10-31,8.86,10.41,126.21,3.8,65,-45,0.61,0.62,0,0.26,19.6,5.16,25TT4_size_images_000001.tif,34,32,449,2,101.87,12.15,1,49.51,1.14,0.85,0.97,1.28,0,0,0,42.09,482,33719,0.78,16:25:43,2016-10-31T23:25:43Z,0.15,363.8777,591.3067,9.01
25,TT,4,14,130.72,130.72,0.92,120.68,128.04,132.1,0.5526,1,1,481,25,0,0,0,0,0,0,0,0.79,0.55,0.96,1.8,51.83,0.92,2016-10-31,12.9,14.79,125.43,3.37,-25,75,0.51,0.66,0,0.3,25.03,7.43,25TT4_size_images_000001.tif,39,42,483,2,128.3,16.63,1,64.92,0.94,1.09,1.03,1.24,0,0,0,42.25,611,78135,0.67,16:25:54,2016-10-31T23:25:54Z,0.13,1124.273,1694.475,13.44
25,TT,4,15,80,80,0.52,110.24,104.36,108.17,0.5526,1,1,83,416,0,0,0,0,0,0,0,0.54,0.56,0.79,1.77,44.3,0.91,2016-10-31,10.09,12.4,124.89,3.27,-45,60,0.29,0.78,0,0.31,20.15,6.17,25TT4_size_images_000001.tif,37,37,527,2,105.76,15.65,1,52.63,1.06,0.98,1.04,1.17,0,0,0,39.37,263,43045,0.64,16:25:25,2016-10-31T23:25:25Z,0.19,538.3104,997.215,8.47
25,TT,4,16,73.9,73.9,0.59,129.23,116.89,115.6,0.5526,1,1,245,229,0,0,0,0,0,0,0,0.6,0.51,0.82,1.97,42.55,0.93,2016-10-31,9.7,11.84,122.29,3.95,-10,70,0.44,0.69,0,0.25,21.46,5.43,25TT4_size_images_000001.tif,30,41,566,2,117.92,14.87,1,53.8,1.11,0.89,0.99,1.24,0,0,0,41.19,537,45046,0.55,16:25:48,2016-10-31T23:25:48Z,0.18,477.9222,869.2278,7.79
25,TT,4,17,80,80,0.92,118.06,119.03,126.86,0.5526,1,1,559,216,0,0,0,0,0,0,0,0.84,0.65,0.98,1.53,40.48,0.98,2016-10-31,10.09,11.18,122.03,2.4,80,-45,0.49,0.67,0,0.42,17.26,7.2,25TT4_size_images_000001.tif,35,35,609,2,121.25,11.61,1,48.92,0.99,1.07,1.07,1.19,0,0,0,42.57,206,49347,0.7,16:25:20,2016-10-31T23:25:20Z,0.1,538.3104,731.7789,10.57
25,TT,4,18,87.39,87.39,0.88,115.02,109.72,109.14,0.5526,1,1,1016,257,0,0,0,0,0,0,0,0.82,0.77,0.97,1.3,41.87,1,2016-10-31,10.55,11.62,119.67,1.32,-15,40,0.02,0.98,0,0.76,13.27,10.06,25TT4_size_images_000001.tif,36,37,646,2,108.4,12.95,1,46.65,1.05,0.95,0.99,1.1,0,0,0,30.83,274,47369,0.74,16:25:26,2016-10-31T23:25:26Z,0.09,614.5112,822.3306,10.02
25,TT,4,19,76.83,76.83,0.72,135.71,130.72,130.89,0.5526,1,1,823,440,0,0,0,0,0,0,0,0.68,0.61,0.9,1.64,41.24,0.95,2016-10-31,9.89,11.42,119.14,2.8,10,-70,0.34,0.75,0,0.36,18.36,6.55,25TT4_size_images_000001.tif,32,39,685,2,130.73,13.69,1,49.83,1.04,0.96,1,1.19,0,0,0,43.97,392,51509,0.56,16:25:36,2016-10-31T23:25:36Z,0.13,506.5496,780.5898,9.26
25,TT,4,20,57.11,57.11,0.78,99.3,85.51,81.67,0.5526,1,1,88,874,0,0,0,0,0,0,0,0.84,0.94,0.97,1.06,33.62,1,2016-10-31,8.53,9,117.05,1,35,-45,0,1.16,0,1,8.91,8.91,25TT4_size_images_000001.tif,30,31,726,2,85.94,10.33,1,35.65,1.16,0.82,0.96,1.05,0,0,0,29.91,626,26812,0.89,16:25:55,2016-10-31T23:25:55Z,0.05,324.658,381.5035,7.44
25,TT,4,21,74.15,74.15,0.72,130.82,124.79,131.64,0.5526,1,1,1120,720,0,0,0,0,0,0,0,0.69,0.6,0.91,1.66,40.66,0.97,2016-10-31,9.72,11.24,116.84,2.86,0,-70,0.35,0.74,0,0.35,18.29,6.39,25TT4_size_images_000001.tif,32,39,759,2,127.31,13.54,1,49.37,1.05,1.01,1.05,1.2,0,0,0,46.23,165,48761,0.69,16:25:17,2016-10-31T23:25:17Z,0.14,480.2822,743.4834,8.92
25,TT,4,22,62.1,62.1,0.89,116.59,104.4,108.09,0.5526,1,1,1160,909,0,0,0,0,0,0,0,0.78,0.61,0.95,1.64,37.85,0.92,2016-10-31,8.89,10.34,116.44,2.78,50,20,0.53,0.65,0,0.36,16.82,6.04,25TT4_size_images_000001.tif,34,32,800,2,106.3,11.01,1,45.74,1.12,0.93,1.04,1.19,0,0,0,50.74,428,35398,0.58,16:25:39,2016-10-31T23:25:39Z,0.14,368.1115,579.4043,9.54
25,TT,4,23,64.01,64.01,0.8,111.45,94.74,90.16,0.5526,1,1,88,99,0,0,0,0,0,0,0,0.76,0.63,0.93,1.58,37.92,0.96,2016-10-31,9.03,10.37,114.83,2.56,-35,90,0.41,0.71,0,0.39,16.33,6.38,25TT4_size_images_000001.tif,29,33,834,2,95.02,11.56,1,45.41,1.18,0.81,0.95,1.18,0,0,0,39.83,123,32401,0.69,16:25:13,2016-10-31T23:25:13Z,0.13,385.2449,583.4161,8.01
25,TT,4,24,74.39,74.39,0.57,131.93,116.52,113.48,0.5526,1,1,480,628,0,0,0,0,0,0,0,0.6,0.66,0.83,1.52,41.48,0.97,2016-10-31,9.73,11.5,114.68,2.36,55,-15,0.14,0.88,0,0.42,16.62,7.05,25TT4_size_images_000001.tif,37,31,869,2,117.12,14.64,1,47.35,1.13,0.86,0.97,1.13,0,0,0,48.18,570,44973,0.62,16:25:51,2016-10-31T23:25:51Z,0.15,482.647,796.2809,8.18
25,TT,4,25,96.32,96.32,0.81,126.55,115.42,109.11,0.5526,1,1,836,503,0,0,0,0,0,0,0,0.75,0.59,0.93,1.69,45.2,0.95,2016-10-31,11.07,12.68,114.18,2.97,25,-75,0.49,0.67,0,0.34,20.7,6.98,25TT4_size_images_000001.tif,35,37,902,2,112.61,13.89,1,55.36,1.1,0.86,0.95,1.21,0,0,0,44.52,557,53263,0.64,16:25:50,2016-10-31T23:25:50Z,0.13,711.1563,1068.034,10.95
