ID,time,P,type
25_4,0.5,1455964.4,observed
25_4,3.443900463,4429544.1,observed
25_4,7.391712963,6168792.3,observed
25_4,10.31496528,4865055.34,observed
25_4,12.48873843,7446745.6,observed
25_4,17.50105324,7341062.4,observed
25_4,21.35770833,10701644.88,observed
25_4,24.4749537,13863207.8,observed
25_4,28.23791667,13603893.0,observed
25_4,34.51337963,16947406.76,observed
25_4,39.56225694,6653977.95,observed
25_4,42.22740741,8095185.05,observed
25_4,42.22740741,8095185.05,observed
25_4,0.0,1455964.4,simulated
25_4,1.0,1747226.191612176,simulated
25_4,2.0,2084044.5360509772,simulated
25_4,3.0,2468489.1816596612,simulated
25_4,4.0,2900805.248114003,simulated
25_4,5.0,3378883.959690971,simulated
25_4,6.0,3897881.7044885587,simulated
25_4,7.0,4450110.385525316,simulated
25_4,8.0,5025295.8783674585,simulated
25_4,9.0,5611233.622426599,simulated
25_4,10.0,6194774.558322863,simulated
25_4,11.0,6762982.394528245,simulated
25_4,12.0,7304251.737755603,simulated
25_4,13.0,7809188.587444144,simulated
25_4,14.0,8271124.662961967,simulated
25_4,15.0,8686234.975483118,simulated
25_4,16.0,9053316.599230401,simulated
25_4,17.0,9373339.75721068,simulated
25_4,18.0,9648894.071546666,simulated
25_4,19.0,9883633.18612445,simulated
25_4,20.0,10081786.531047003,simulated
25_4,21.0,10247772.062361794,simulated
25_4,22.0,10385916.547529327,simulated
25_4,23.0,10500272.99958149,simulated
25_4,24.0,10594516.843628163,simulated
25_4,25.0,10671900.662774324,simulated
25_4,26.0,10735249.278075183,simulated
25_4,27.0,10786980.318533191,simulated
25_4,28.0,10829139.191306775,simulated
25_4,29.0,10863440.64152228,simulated
25_4,30.0,10891311.779612094,simulated
25_4,31.0,10913933.446326667,simulated
25_4,32.0,10932278.16523631,simulated
25_4,33.0,10947143.905849097,simulated
25_4,34.0,10959183.45012157,simulated
25_4,35.0,10968929.518274926,simulated
25_4,36.0,10976816.00561981,simulated
25_4,37.0,10983195.761603622,simulated
25_4,38.0,10988355.365402687,simulated
25_4,39.0,10992527.335205976,simulated
25_4,40.0,10995900.171308974,simulated
25_4,41.0,10998626.587307336,simulated
25_4,42.0,11000830.238155086,simulated
25_4,43.0,11002611.206011098,simulated
25_5,0.5,1455964.4,observed
25_5,0.541805556,1255985.75,observed
25_5,3.441701389,5343629.76,observed
25_5,7.393472222,8163741.63,observed
25_5,10.31322917,6303888.79,observed
25_5,12.48982639,8096752.41,observed
25_5,17.50267361,6564088.52,observed
25_5,21.3596875,8375279.48,observed
25_5,24.47599537,11106848.55,observed
25_5,28.23917824,14561420.01,observed
25_5,34.51457176,14572271.7,observed
25_5,39.56123843,5298092.72,observed
25_5,42.22863426,8584545.2,observed
25_5,42.22863426,8584545.2,observed
25_5,0.0,1455964.4,simulated
25_5,1.0,1937335.5399469123,simulated
25_5,2.0,2528285.5415697456,simulated
25_5,3.0,3223398.1431185296,simulated
25_5,4.0,4001079.1560242316,simulated
25_5,5.0,4823844.885154553,simulated
25_5,6.0,5644409.721643522,simulated
25_5,7.0,6415984.864450365,simulated
25_5,8.0,7102353.2704012385,simulated
25_5,9.0,7683445.8081036,simulated
25_5,10.0,8155150.655667913,simulated
25_5,11.0,8525159.531362094,simulated
25_5,12.0,8807671.321414094,simulated
25_5,13.0,9018964.788797747,simulated
25_5,14.0,9174563.391276889,simulated
25_5,15.0,9287844.969834827,simulated
25_5,16.0,9369633.387341956,simulated
25_5,17.0,9428329.168344775,simulated
25_5,18.0,9470270.476165107,simulated
25_5,19.0,9500147.193164226,simulated
25_5,20.0,9521382.857736751,simulated
25_5,21.0,9536453.015011245,simulated
25_5,22.0,9547135.842200259,simulated
25_5,23.0,9554702.633167459,simulated
25_5,24.0,9560059.298012365,simulated
25_5,25.0,9563849.875459913,simulated
25_5,26.0,9566531.478212189,simulated
25_5,27.0,9568428.17310481,simulated
25_5,28.0,9569769.515843749,simulated
25_5,29.0,9570718.019106397,simulated
25_5,30.0,9571388.688141497,simulated
25_5,31.0,9571862.880395839,simulated
25_5,32.0,9572198.144174553,simulated
25_5,33.0,9572435.17620721,simulated
25_5,34.0,9572602.755871424,simulated
25_5,35.0,9572721.231451254,simulated
25_5,36.0,9572804.990815878,simulated
25_5,37.0,9572864.20622057,simulated
25_5,38.0,9572906.06959094,simulated
25_5,39.0,9572935.665600365,simulated
25_5,40.0,9572956.589226626,simulated
25_5,41.0,9572971.380521558,simulated
25_5,42.0,9572981.837556297,simulated
25_5,43.0,9572989.230751691,simulated
32_1,0.5,1455964.4,observed
32_1,0.548773148,742761.63,observed
32_1,10.33221065,4574771.62,observed
32_1,13.0756713,3085057.8,observed
32_1,17.51204861,3112580.02,observed
32_1,21.37943287,4763184.1,observed
32_1,24.50034722,7383094.64,observed
32_1,28.32475694,1894356.08,observed
32_1,35.37934028,6099350.72,observed
32_1,39.56454861,3329810.04,observed
32_1,42.22953704,6775190.04,observed
32_1,42.22953704,6775190.04,observed
32_1,0.0,1455964.4,simulated
32_1,1.0,1588250.813054231,simulated
32_1,2.0,1727573.7121079857,simulated
32_1,3.0,1873443.534980447,simulated
32_1,4.0,2025226.8293622173,simulated
32_1,5.0,2182150.898283551,simulated
32_1,6.0,2343314.874552636,simulated
32_1,7.0,2507707.1645024656,simulated
32_1,8.0,2674228.848586166,simulated
32_1,9.0,2841721.976178064,simulated
32_1,10.0,3009001.2849968635,simulated
32_1,11.0,3174887.5450621704,simulated
32_1,12.0,3338240.539383188,simulated
32_1,13.0,3497989.7480817838,simulated
32_1,14.0,3653161.026006182,simulated
32_1,15.0,3802897.949444125,simulated
32_1,16.0,3946477.005919117,simulated
32_1,17.0,4083316.3163290014,simulated
32_1,18.0,4212978.0812094435,simulated
32_1,19.0,4335165.362276032,simulated
32_1,20.0,4449714.107933323,simulated
32_1,21.0,4556581.507438592,simulated
32_1,22.0,4655831.8111894,simulated
32_1,23.0,4747620.706069038,simulated
32_1,24.0,4832179.215692538,simulated
32_1,25.0,4909797.9131208295,simulated
32_1,26.0,4980812.064800402,simulated
32_1,27.0,5045588.122578009,simulated
32_1,28.0,5104511.821848742,simulated
32_1,29.0,5157977.998196718,simulated
32_1,30.0,5206382.124361993,simulated
32_1,31.0,5250113.487310987,simulated
32_1,32.0,5289549.873810497,simulated
32_1,33.0,5325053.591640648,simulated
32_1,34.0,5356968.650673866,simulated
32_1,35.0,5385618.920840393,simulated
32_1,36.0,5411307.094659619,simulated
32_1,37.0,5434314.296255409,simulated
32_1,38.0,5454900.196352594,simulated
32_1,39.0,5473303.512016672,simulated
32_1,40.0,5489742.788460933,simulated
32_1,41.0,5504417.37789867,simulated
32_1,42.0,5517508.546386329,simulated
32_1,43.0,5529180.653699925,simulated
32_2,0.5,1455964.4,observed
32_2,13.0972338,5342718.76,observed
32_2,17.5096875,3196147.41,observed
32_2,21.3806713,5594738.84,observed
32_2,24.49875,8516178.44,observed
32_2,28.32583333,1860933.83,observed
32_2,35.38086806,7695433.15,observed
32_2,39.56555556,4688682.76,observed
32_2,42.23056713,7452902.52,observed
32_2,42.23056713,7452902.52,observed
32_2,0.0,1455964.4,simulated
32_2,1.0,1605409.7133130322,simulated
32_2,2.0,1764902.5783555221,simulated
32_2,3.0,1934069.9171472972,simulated
32_2,4.0,2112326.6004799143,simulated
32_2,5.0,2298868.666616365,simulated
32_2,6.0,2492676.152658283,simulated
32_2,7.0,2692526.7173908055,simulated
32_2,8.0,2897020.475654902,simulated
32_2,9.0,3104615.443046752,simulated
32_2,10.0,3313671.974974703,simulated
32_2,11.0,3522503.645446606,simulated
32_2,12.0,3729431.2474385016,simulated
32_2,13.0,3932836.3400413613,simulated
32_2,14.0,4131210.6992126806,simulated
32_2,15.0,4323198.583787876,simulated
32_2,16.0,4507629.475299786,simulated
32_2,17.0,4683539.941365389,simulated
32_2,18.0,4850184.326745259,simulated
32_2,19.0,5007034.877166418,simulated
32_2,20.0,5153772.688631401,simulated
32_2,21.0,5290271.333397054,simulated
32_2,22.0,5416575.254414012,simulated
32_2,23.0,5532874.986780362,simulated
32_2,24.0,5639481.085604745,simulated
32_2,25.0,5736798.318012105,simulated
32_2,26.0,5825301.3140881285,simulated
32_2,27.0,5905512.502591954,simulated
32_2,28.0,5977982.829037936,simulated
32_2,29.0,6043275.432294354,simulated
32_2,30.0,6101952.32420054,simulated
32_2,31.0,6154563.857748332,simulated
32_2,32.0,6201640.743574749,simulated
32_2,33.0,6243688.287423272,simulated
32_2,34.0,6281182.515057035,simulated
32_2,35.0,6314567.855315921,simulated
32_2,36.0,6344256.069345513,simulated
32_2,37.0,6370626.154485562,simulated
32_2,38.0,6394024.983915839,simulated
32_2,39.0,6414768.480829242,simulated
32_2,40.0,6433143.162793803,simulated
32_2,41.0,6449407.922948607,simulated
32_2,42.0,6463795.943746942,simulated
32_2,43.0,6476516.663050259,simulated
32_3,0.5,1455964.4,observed
32_3,10.3359838,4973591.17,observed
32_3,13.0987037,7746280.72,observed
32_3,17.50799769,2850036.28,observed
32_3,21.38184028,6408749.72,observed
32_3,24.49759259,9512214.42,observed
32_3,28.32795139,3162879.72,observed
32_3,35.38190972,7025212.02,observed
32_3,39.56659722,1870018.45,observed
32_3,42.23164352,7150096.17,observed
32_3,42.23164352,7150096.17,observed
32_3,0.0,1455964.4,simulated
32_3,1.0,1933653.2232385653,simulated
32_3,2.0,2479097.331263416,simulated
32_3,3.0,3057451.0426730393,simulated
32_3,4.0,3624484.2954840898,simulated
32_3,5.0,4139281.716046565,simulated
32_3,6.0,4575041.927149686,simulated
32_3,7.0,4922558.762823666,simulated
32_3,8.0,5186762.836484665,simulated
32_3,9.0,5380417.036197236,simulated
